target,feature,pearson_r,spearman_rho,p_value,fdr_q,fdr_significant,n
GrandMean_a,asym_alpha_peak_cf,-0.09533674023681832,-0.04059677212209426,0.2607808470842321,0.7336950059389664,False,188
GrandMean_a,asym_alpha_peak_pw,0.02395349149408158,-0.03938413836247131,0.7622246343865264,0.9205923074955985,False,188
GrandMean_a,asym_alpha_peak_bw,0.006820378601854464,0.007050815531486792,0.9360244910551521,0.9717506166679442,False,188
GrandMean_a,asym_beta_peak_cf,-0.05977543859256542,-0.055510508908567166,0.5466657326260442,0.8571285415472,False,188
GrandMean_a,asym_beta_peak_pw,0.045897765934254285,0.017859454764345528,0.5835629528023918,0.8668093848533772,False,188
GrandMean_a,asym_beta_peak_bw,0.047538556050209346,0.11364557772324763,0.6317880087555435,0.8759097421717958,False,188
GrandMean_a,fp_theta_wpli,0.14630584920964837,0.16095432567278609,0.04750819893492442,0.4970088503961324,False,188
GrandMean_a,fp_alpha_wpli,-0.0868060133641884,-0.05064822484637168,0.24132444643736078,0.7134809720756753,False,188
GrandMean_a,fp_theta_coh,-0.017216036230309446,-0.03856408083065246,0.8165726471823019,0.9205923074955985,False,188
GrandMean_a,fp_alpha_coh,-0.08254845373173271,-0.0927529810637437,0.26527347761099707,0.7336950059389664,False,188
GrandMean_a,lr_theta_wpli,0.03334814750685215,0.08680819094218951,0.6531441460021868,0.8794812262999744,False,188
GrandMean_a,lr_alpha_wpli,-0.08008911117759311,0.019336942073934233,0.2798238615857242,0.7336950059389664,False,188
GrandMean_a,lr_alpha_coh,-0.011594249834118834,-0.0020072816936680085,0.8758710204971927,0.9379406203749465,False,188
GrandMean_a,conn_frontal_posterior_delta,,,,,False,188
GrandMean_a,conn_frontal_posterior_theta,,,,,False,188
GrandMean_a,conn_frontal_posterior_alpha,,,,,False,188
GrandMean_a,conn_frontal_posterior_beta,,,,,False,188
GrandMean_a,conn_frontal_central_delta,,,,,False,188
GrandMean_a,conn_frontal_central_theta,,,,,False,188
GrandMean_a,conn_frontal_central_alpha,,,,,False,188
GrandMean_a,conn_frontal_central_beta,,,,,False,188
GrandMean_a,conn_frontal_left_temporal_delta,,,,,False,188
GrandMean_a,conn_frontal_left_temporal_theta,,,,,False,188
GrandMean_a,conn_frontal_left_temporal_alpha,,,,,False,188
GrandMean_a,conn_frontal_left_temporal_beta,,,,,False,188
GrandMean_a,conn_frontal_right_temporal_delta,,,,,False,188
GrandMean_a,conn_frontal_right_temporal_theta,,,,,False,188
GrandMean_a,conn_frontal_right_temporal_alpha,,,,,False,188
GrandMean_a,conn_frontal_right_temporal_beta,,,,,False,188
GrandMean_a,conn_frontal_occipital_delta,,,,,False,188
GrandMean_a,conn_frontal_occipital_theta,,,,,False,188
GrandMean_a,conn_frontal_occipital_alpha,,,,,False,188
GrandMean_a,conn_frontal_occipital_beta,,,,,False,188
GrandMean_a,conn_frontal_prefrontal_delta,,,,,False,188
GrandMean_a,conn_frontal_prefrontal_theta,,,,,False,188
GrandMean_a,conn_frontal_prefrontal_alpha,,,,,False,188
GrandMean_a,conn_frontal_prefrontal_beta,,,,,False,188
GrandMean_a,conn_posterior_central_delta,,,,,False,188
GrandMean_a,conn_posterior_central_theta,,,,,False,188
GrandMean_a,conn_posterior_central_alpha,,,,,False,188
GrandMean_a,conn_posterior_central_beta,,,,,False,188
GrandMean_a,conn_posterior_left_temporal_delta,0.06283926762715275,0.010458284371327849,0.39675977681849817,0.7707280577960334,False,188
GrandMean_a,conn_posterior_left_temporal_theta,0.15263747097078464,0.15054805339908686,0.03859284055427532,0.4640548413755117,False,188
GrandMean_a,conn_posterior_left_temporal_alpha,-0.07132425440438754,-0.07021825817264163,0.3359883326260711,0.7604028154173289,False,188
GrandMean_a,conn_posterior_left_temporal_beta,0.054448000492829274,0.09442122093583248,0.4628998745123315,0.8226609929835992,False,188
GrandMean_a,conn_posterior_right_temporal_delta,,,,,False,188
GrandMean_a,conn_posterior_right_temporal_theta,,,,,False,188
GrandMean_a,conn_posterior_right_temporal_alpha,,,,,False,188
GrandMean_a,conn_posterior_right_temporal_beta,,,,,False,188
GrandMean_a,conn_posterior_occipital_delta,,,,,False,188
GrandMean_a,conn_posterior_occipital_theta,,,,,False,188
GrandMean_a,conn_posterior_occipital_alpha,,,,,False,188
GrandMean_a,conn_posterior_occipital_beta,,,,,False,188
GrandMean_a,conn_posterior_prefrontal_delta,,,,,False,188
GrandMean_a,conn_posterior_prefrontal_theta,,,,,False,188
GrandMean_a,conn_posterior_prefrontal_alpha,,,,,False,188
GrandMean_a,conn_posterior_prefrontal_beta,,,,,False,188
GrandMean_a,conn_central_left_temporal_delta,,,,,False,188
GrandMean_a,conn_central_left_temporal_theta,,,,,False,188
GrandMean_a,conn_central_left_temporal_alpha,,,,,False,188
GrandMean_a,conn_central_left_temporal_beta,,,,,False,188
GrandMean_a,conn_central_right_temporal_delta,,,,,False,188
GrandMean_a,conn_central_right_temporal_theta,,,,,False,188
GrandMean_a,conn_central_right_temporal_alpha,,,,,False,188
GrandMean_a,conn_central_right_temporal_beta,,,,,False,188
GrandMean_a,conn_central_occipital_delta,,,,,False,188
GrandMean_a,conn_central_occipital_theta,,,,,False,188
GrandMean_a,conn_central_occipital_alpha,,,,,False,188
GrandMean_a,conn_central_occipital_beta,,,,,False,188
GrandMean_a,conn_central_prefrontal_delta,-0.045723066591809976,-0.024112423185837294,0.5376875422588124,0.8571285415472,False,188
GrandMean_a,conn_central_prefrontal_theta,0.03496856812393309,-0.012301824276164974,0.6374633654647524,0.8759097421717958,False,188
GrandMean_a,conn_central_prefrontal_alpha,-0.1703691082051908,-0.1594883550692531,0.020767758459723173,0.40348787864605024,False,188
GrandMean_a,conn_central_prefrontal_beta,0.10912055229007957,0.11052378108686019,0.14034629354319175,0.5980085320028875,False,188
GrandMean_a,conn_left_temporal_right_temporal_delta,-0.10637837758370496,-0.08719731848741114,0.15065144286083654,0.6056791123092748,False,188
GrandMean_a,conn_left_temporal_right_temporal_theta,-0.01697881403225207,-0.031057001406253008,0.8190563912277016,0.9205923074955985,False,188
GrandMean_a,conn_left_temporal_right_temporal_alpha,-0.10563263174162481,-0.133965826125484,0.1535505475645657,0.6056791123092748,False,188
GrandMean_a,conn_left_temporal_right_temporal_beta,0.04175532319272911,0.03395619425555277,0.5735830623649864,0.8668093848533772,False,188
GrandMean_a,conn_left_temporal_occipital_delta,,,,,False,188
