Subject,SymSpan,OSpan,RotSpan,RAPM,NumberSeries,LetterSets,Antisaccade,VAorient,Squared_Stroop,Squared_Flanker,Squared_Simon,StroopDL,SART,SACT,PVT,GradCPT_rt_cv,GradCPT_dprime,Resamples
19109,24,27,4,12,7,15,0.7638888888888888,3.2333333333333334,37,29,70,-527.5,3.2528022561291516,0.7857142857142857,-6.198749682487734,-0.196691583646071,2.35505189784868,0.15974025974025974
19110,21,29,19,14,12,15,0.9166666666666666,3.35,43,56,73,-802.5,3.6253312654686134,0.9285714285714286,-6.109882301922457,-0.187056398696592,2.91833801499331,0
19111,9,15,7,7,13,12,0.8611111111111112,3.1000000000000005,50,58,69,-1476,3.498726486382745,0.4523809523809524,-6.302985209039605,-0.226703634122818,2.59947151095617,0.2602739726027397
19112,21,NA,17,15,NA,23,0.75,NA,43,37,70,-958.5,3.2347904200162945,0.8095238095238095,-6.0756524975330075,-0.192009776994203,1.55995660362328,NA
19113,19,33,10,11,12,20,0.7777777777777778,2.15,17,19,58,-1552.5,3.2528022561291516,0.6428571428571429,-6.1776476860063365,-0.299004382192345,1.60084032139657,0.10317460317460315
19116,22,36,17,15,8,20,0.7083333333333333,2.75,44,39,59,-722,4.026152692064245,0.6666666666666667,-6.375479004007586,-0.212786800839271,2.47333178405031,0.07235621521335807
19118,23,39,16,15,10,18,0.9444444444444444,3.0500000000000003,46,44,84,-697.5,3.2528022561291516,0.5952380952380952,-6.099720865877834,-0.251594535146612,2.69480358533861,0.09201680672268908
19119,19,36,18,14,12,16,0.8888888888888888,2.1499999999999995,48,41,55,-921.5,3.2528022561291516,NA,-6.436379279896123,-0.165665313300356,2.14908695350017,0.15416480071652486
19120,20,31,13,10,10,NA,0.7916666666666667,2.4000000000000004,46,35,59,-718.5,NA,0.4047619047619048,-6.156676276335476,-0.13447169527117,1.00213068513763,0.28508348794063076
19121,19,30,9,12,12,16,0.7361111111111112,2.783333333333333,24,53,83,-674,2.7958101897302172,0.6666666666666666,-6.412638948921326,-0.26443971698343,1.94082074968273,0.17372881355932204
19123,13,20,15,7,5,11,0.6527777777777778,1.9666666666666663,25,25,73,-830.5,2.112486411271365,0.5952380952380952,-6.19549323456251,-0.142861592016161,1.17645287404696,NA
19126,19,23,12,11,9,16,0.8194444444444444,2.55,53,35,67,-1040.5,0.862826042220024,1,-6.231137400373402,-0.184981719563408,0.970590418627312,0.33384536610343063
19127,18,35,14,12,13,21,0.9583333333333334,2.966666666666667,49,50,73,-697,2.666006731863405,0.9523809523809524,-5.911519056930894,-0.247180412532392,1.50990756887609,0.1109375
19128,23,33,26,10,13,21,0.8472222222222222,3.1333333333333333,54,70,73,-775.5,2.172202930827837,0.42857142857142855,-6.288787496596443,-0.257330633858238,1.24203264919129,0.01612903225806451
19130,17,37,12,14,9,21,0.7361111111111112,3.116666666666667,38,44,66,-2012,1.9788589160611407,0.8571428571428571,-6.213941209434488,-0.210265009747731,2.11542129799685,0.10497835497835498
