parameter,feature,pearson_r,spearman_rho,p_value,n,fdr_q,fdr_significant
v,right_temporal_sample_entropy,-0.20207137095180353,-0.13475371308585848,0.005945258471022994,184,0.1703279848167045,False
v,right_temporal_perm_entropy,-0.09197139229056114,-0.035264202192213594,0.2143501286703535,184,0.5963209278462718,False
v,occipital_aperiodic_exponent,0.0479721648258639,0.04376529059351582,0.5178494369498737,184,0.6964182083118992,False
v,occipital_aperiodic_offset,0.0157024209111779,0.021274874304097396,0.8324507057484493,184,0.9018215978941533,False
v,occipital_sample_entropy,-0.060488355766758414,-0.06021267168808152,0.4146948414734681,184,0.6738791173943856,False
v,occipital_perm_entropy,-0.08195575377508657,-0.06480707364527749,0.26873191255752416,184,0.5963209278462718,False
v,prefrontal_aperiodic_exponent,0.029332055537729676,0.04632351524725009,0.6926562140132563,184,0.818593707470212,False
v,prefrontal_aperiodic_offset,-0.016002367875436473,-0.017630174722120553,0.8292986072470439,184,0.9018215978941533,False
v,prefrontal_sample_entropy,-0.08500052706340208,-0.05001830055286933,0.251289359601511,184,0.5963209278462718,False
v,prefrontal_perm_entropy,-0.05172022729508362,-0.04234940571362524,0.485644413423475,184,0.6964182083118992,False
v,global_delta,-0.018383341790272692,-0.02468262988576602,0.8043778700459766,184,0.9018215978941533,False
v,global_theta,0.04989246395822237,0.039315366685288275,0.5012137260980818,184,0.6964182083118992,False
v,global_alpha,-0.006369105635279551,-0.02320895378628807,0.9316199551017608,184,0.9819777905126668,False
v,global_beta,-0.11853918671471592,-0.12714646221417425,0.10901379526451235,184,0.4251538015315982,False
v,IAF,-0.07590320958208721,-0.04372430030793556,0.3058056040237291,184,0.5963209278462718,False
v,frontal_theta_beta_ratio,0.12786749927880894,0.0986977711852979,0.08367196427989873,184,0.4251538015315982,False
v,temporal_alpha_asymmetry,-0.04002041812233034,-0.04877001020978212,0.5896246674630032,184,0.7539612516186003,False
v,connectivity_delta,0.11984752418810797,0.14996436208125444,0.10513388831712854,184,0.4251538015315982,False
