target,model,r2,spearman,pearson,mae,perm_p,n
Accuracy_Mid_t0,MLP,-1.111982707065244,0.07388925912079854,-0.012510012518810955,0.08754475296648005,,188
Neutral_a,Ridge,0.04063034145327915,0.2228579375012416,0.22688756179245928,0.29416200671419646,,188
Neutral_a,Lasso,-0.001505435473697192,0.18813379639412178,0.21089636699480868,0.30206089317858464,,188
Neutral_a,ElasticNet,0.006395178436778504,0.19426881003852217,0.21178278682000956,0.30068234558204654,,188
Neutral_a,XGBoost,0.06562236543083366,0.28672926294953827,0.2899285884102189,0.2849163857960397,0.009900990099009901,188
Neutral_a,PCA+Ridge,0.01995294735871811,0.09886275593409508,0.14682533586394705,0.2966020550972183,,188
Neutral_a,PLS,-0.02880426766151145,0.18713507324270778,0.22249990442213383,0.30630211831260523,,188
Neutral_a,SparsePCA+Ridge,0.04440079035404376,0.17431421311271122,0.2150417290424193,0.29337493012339905,,188
Neutral_a,MLP,-1.6007634075492803,0.06642682862958206,0.0647511131171582,0.4875644511253681,,188
Neutral_v,Ridge,-0.0953815680113772,-0.10995707115857302,-0.09254270347223136,0.7081464085555568,,188
Neutral_v,Lasso,-0.054798100493928636,-0.04568110323055748,-0.08200851171234512,0.6886032256975624,0.2871287128712871,188
Neutral_v,ElasticNet,-0.08814376386789413,-0.15046539461167607,-0.1672406019864331,0.7035655935864995,,188
Neutral_v,XGBoost,-0.1678020977892991,-0.009510449348866593,-0.03354876683567023,0.7285058709691637,,188
Neutral_v,PCA+Ridge,-0.044168801419276704,-0.04855997847236896,-0.10428268186907706,0.6953329966118539,,188
Neutral_v,PLS,-0.22008328354724593,0.039954344084506786,0.011211707341124429,0.7383473242392586,,188
Neutral_v,SparsePCA+Ridge,-0.04915736235312185,-0.10939179024285406,-0.11958827161979288,0.7005511185764507,,188
Neutral_v,MLP,-1.1048692218052927,0.05964706965958529,0.07473711282071326,1.0112716601523137,,188
Neutral_t0,Ridge,-0.10172732360264036,-0.08727178814788325,-0.08954405024210671,0.051741950606283095,1.0,188
Neutral_t0,Lasso,-0.149286261770319,-0.0847834134200917,-0.06693952954134766,0.053539204969427295,,188
Neutral_t0,ElasticNet,-0.1457970008199725,-0.0725739224783053,-0.05968382274465419,0.05343648496958675,,188
Neutral_t0,XGBoost,-0.14340170017565423,-0.19016009442053156,-0.1449748869786969,0.05221886721006353,,188
Neutral_t0,PCA+Ridge,-0.01847078092224219,0.016313682145972508,-0.06072501364241635,0.04813670639330404,,188
Neutral_t0,PLS,-0.2675818369144778,-0.006599158038457162,-0.044413024926899324,0.05689858313207647,,188
Neutral_t0,SparsePCA+Ridge,-0.03630090340159331,-0.016181843465948597,-0.10086974422333142,0.048770242017177216,,188
Neutral_t0,MLP,-0.8221166972906682,-0.01935500183309945,-0.00877774438294641,0.06990958863923905,,188
Speed_Max_a,Ridge,-0.012078413315969705,0.11073004314556255,0.1461508532987319,0.35902860529019576,0.1782178217821782,188
Speed_Max_a,Lasso,-0.03615682547842214,0.09907444715662744,0.13560310462741382,0.36469083837224137,,188
Speed_Max_a,ElasticNet,-0.027353459760911747,0.11620225137121255,0.149440233382437,0.3625865014900914,,188
Speed_Max_a,XGBoost,-0.11790984827607898,-0.02582142984531335,-0.014148405153569443,0.37543115706963237,,188
Speed_Max_a,PCA+Ridge,0.025883136762952952,0.14032150577832678,0.16093488181529678,0.33737554780883183,,188
Speed_Max_a,PLS,-0.0542472646628116,0.2022567892405189,0.21046778132639782,0.36485515036486343,,188
Speed_Max_a,SparsePCA+Ridge,0.02499823460261763,0.15826059630815573,0.15814501197094397,0.3406889729707789,,188
Speed_Max_a,MLP,-0.7983127254824278,0.12196522709664136,0.10111296701703687,0.4987623620880209,,188
Speed_Max_v,Ridge,-0.039714167765661834,0.01617100741005622,-0.01005232336044327,0.8366153703939535,0.27722772277227725,188
Speed_Max_v,Lasso,-0.0444368485822213,0.030479457334031814,0.023120436597740025,0.8433183429691635,,188
Speed_Max_v,ElasticNet,-0.05795046180870389,0.02627201751106632,0.004015300333130285,0.840561002701354,,188
Speed_Max_v,XGBoost,-0.16246164256862672,-0.03900618919392386,-0.02005847731892541,0.8954426173499088,,188
Speed_Max_v,PCA+Ridge,-0.038343755343381414,-0.04002839046643802,-0.07298148481059563,0.8438253526101216,,188
Speed_Max_v,PLS,-0.2857203390840959,-0.011612639897996591,-0.030977072126980094,0.9363991507991968,,188
Speed_Max_v,SparsePCA+Ridge,-0.04193937573598894,-0.04706099074059023,-0.0788078143500953,0.8492932528619518,,188
Speed_Max_v,MLP,-1.2364041387307227,-0.10964282553769411,-0.09295957645744221,1.2966006950993234,,188
Speed_Max_t0,Ridge,-0.026492464204717736,0.06137361456510392,0.04321608182744927,0.06371637264418173,0.39603960396039606,188
Speed_Max_t0,Lasso,-0.03645255382604273,-0.05352899136237832,0.006295534244488051,0.06397143713570466,,188
Speed_Max_t0,ElasticNet,-0.039711307296757425,-0.03595227778477719,0.010655383074852807,0.06463535466034366,,188
Speed_Max_t0,XGBoost,-0.29984817995585056,-0.004817562476039604,-0.07374721613565749,0.07238041482683953,,188
Speed_Max_t0,PCA+Ridge,-0.020714497291637102,-0.022784613523036547,-0.05305570245357594,0.06135846318691848,,188
Speed_Max_t0,PLS,-0.16502353683135196,0.07763853445956073,0.0818967001676366,0.07651068859610778,,188
Speed_Max_t0,SparsePCA+Ridge,-0.02820074050171084,-0.069199052928715,-0.051042775308732434,0.06270562610594345,,188
Speed_Max_t0,MLP,-0.6958847165354844,0.061133415326156244,0.04344829587061019,0.09689859429016266,,188
Speed_Mid_a,Ridge,-0.09179723303286269,-0.005354817620149285,0.021938006527056828,0.3307123999002021,0.7326732673267327,188
Speed_Mid_a,Lasso,-0.15308881689445442,-0.028770092463389525,0.0192556953430209,0.3422428429509444,,188
Speed_Mid_a,ElasticNet,-0.13694405244384056,-0.01582879097973196,0.017688369857950595,0.3389689259459094,,188
Speed_Mid_a,XGBoost,-0.15909245048685894,0.027370071174827117,0.01268148382824463,0.3394582990005169,,188
Speed_Mid_a,PCA+Ridge,-0.001113397375304137,0.05378295741249433,0.0954796143766568,0.31411313108299965,,188
Speed_Mid_a,PLS,-0.11011314397104721,0.1296190945752898,0.16878224391598012,0.33269936254586335,,188
Speed_Mid_a,SparsePCA+Ridge,0.019928035710965797,0.10303644346197537,0.14184075039027524,0.3091284488770587,,188
Speed_Mid_a,MLP,-1.299556912023541,0.020478339627275795,0.012996072734392027,0.4821969798591898,,188
Speed_Mid_v,Ridge,-0.020290710818671842,0.05134123281807887,0.08342157636678939,0.8213591269764712,0.10891089108910891,188
Speed_Mid_v,Lasso,-0.027367604465222906,0.08968461659325239,0.08314658592947156,0.8248089276462639,,188
Speed_Mid_v,ElasticNet,-0.024437667950204522,0.06912500654678376,0.08157135870926945,0.822965988359503,,188
Speed_Mid_v,XGBoost,-0.03887571123449063,0.15332393907065184,0.14776791699306582,0.8347857175671194,,188
Speed_Mid_v,PCA+Ridge,0.014923328086616117,0.09961947383724602,0.12545434152131218,0.808810485284715,,188
Speed_Mid_v,PLS,-0.08209970231113628,0.1298105315627218,0.13061310892864397,0.8735388608168552,,188
Speed_Mid_v,SparsePCA+Ridge,0.007827045398650201,0.08367421759161432,0.1022161354325869,0.8144631496102657,,188
Speed_Mid_v,MLP,-0.9760944682446255,0.16148793495476846,0.16614075711368692,1.1973009924305045,,188
Speed_Mid_t0,Ridge,-0.029029579578938813,0.0372489421300435,0.020991492000010454,0.05292914059513855,0.18811881188118812,188
Speed_Mid_t0,Lasso,-0.05719726446350171,-0.12053634837375014,-0.07844273738314404,0.053658135458605045,,188
Speed_Mid_t0,ElasticNet,-0.055070800002661624,-0.05072124632732916,-0.040694822569525946,0.05351831916494486,,188
Speed_Mid_t0,XGBoost,-0.20498709753445543,-0.1168228793003591,-0.15291444696448545,0.057687196482151114,,188
Speed_Mid_t0,PCA+Ridge,0.0008869638746773489,0.07106466055151912,0.07515054975250941,0.052343022350238314,,188
Speed_Mid_t0,PLS,-0.2919175615987213,-0.04565230347458131,-0.08257438863980919,0.05896192661501189,,188
Speed_Mid_t0,SparsePCA+Ridge,-0.019194513224850773,0.008596604341285192,0.007649483845823031,0.052870130332423416,,188
Speed_Mid_t0,MLP,-0.40122458742254064,0.08598229749669047,0.05994827391298724,0.06254858558120119,,188
