Top_N,Scenario,Target,Model,N,R2_CV,MAE_CV,Perm_p,N_Features,Features_Used
8,PairedMean,Speed_Max_v,ElasticNet,184,-0.0116,0.8331,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Max_v,XGBoost,184,-0.0591,0.8523,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Max_v,SVR,184,-0.0035,0.8209,1.0,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Mid_a,Ridge,184,0.0192,0.3047,0.0299,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Mid_a,Lasso,184,-0.0107,0.3054,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Mid_a,ElasticNet,184,-0.0039,0.308,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Mid_a,XGBoost,184,-0.0732,0.3187,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Mid_a,SVR,184,-0.0437,0.3043,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,PairedMean,Speed_Mid_v,Ridge,184,0.0379,0.78,0.0149,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Mid_v,Lasso,184,0.0253,0.7856,0.0149,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Mid_v,ElasticNet,184,0.025,0.7845,0.01,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Mid_v,XGBoost,184,0.0193,0.7958,0.0199,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,PairedMean,Speed_Mid_v,SVR,184,0.0051,0.7897,0.0647,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,GrandMean,a,Ridge,184,0.0385,0.2642,0.005,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,GrandMean,a,Lasso,184,0.0286,0.2667,0.0199,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,GrandMean,a,ElasticNet,184,0.0234,0.2671,0.0149,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,GrandMean,a,XGBoost,184,-0.2016,0.297,1.0,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,GrandMean,a,SVR,184,0.0017,0.2621,0.0299,8,left_temporal_abs_gamma; right_temporal_abs_gamma; left_temporal_rel_gamma; prefrontal_abs_beta; right_temporal_abs_beta; central_abs_gamma; occipital_rel_theta; left_temporal_abs_beta
8,GrandMean,v,Ridge,184,0.0138,0.6168,0.0299,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,GrandMean,v,Lasso,184,0.0249,0.609,0.01,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,GrandMean,v,ElasticNet,184,0.0212,0.61,0.01,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,GrandMean,v,XGBoost,184,0.0188,0.6084,0.0149,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
8,GrandMean,v,SVR,184,0.003,0.6151,0.0846,8,central_theta_beta_ratio; right_temporal_spectral_entropy; right_temporal_theta_beta_ratio; right_temporal_rel_beta; right_temporal_rel_gamma; posterior_rel_beta; central_rel_beta; central_rel_gamma
